UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/06/03T00:01:10z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.11,0.02,36568,0,956,4.95,8.32,8.61,4.95,8.32,8.61,35,35,1211.8,345.2,71.73,3.54,0.47,0,3,5.45,6.59,3,5.45,6.59,23,23,931.55,262.95,48.3,3.39,1.46,1.46,
2021/06/03T00:03:09z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.13,0.02,36568,0,1075,4.71,7.98,8.88,4.71,7.98,8.88,33,33,1235.08,340.86,64.56,4.59,1.39,0.71,3.47,5.48,6.38,3.47,5.48,6.38,23,23,925.76,264.95,48.1,3.72,0.52,0.52,
2021/06/03T00:05:09z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.13,0.02,36568,0,1195,4.84,7.44,8.02,4.84,7.44,8.02,31,31,1223.07,337.82,53.55,3.44,0.8,0.2,3.75,6.83,7.19,3.75,6.83,7.19,28,28,992.85,283.81,51.66,4.71,0.51,0.51,
2021/06/03T00:07:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.2,nan,36656,0,115,4.58,7.09,7.37,4.58,7.09,7.37,30,30,1160.58,321.23,52.21,2.95,0.33,0.09,3.67,5.93,7.03,3.67,5.93,7.03,25,25,934.28,269.27,52.95,5.05,1.05,1.05,
2021/06/03T00:09:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.19,0.02,36568,0,235,5.11,7.37,8.21,5.11,7.37,8.21,31,31,1234.26,342.56,55.21,3.86,1.07,0.12,3.4,6.79,7.53,3.4,6.79,7.53,28,28,936.72,273.86,54.86,6.83,1.07,0.34,
2021/06/03T00:11:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.2,0.02,36568,0,355,4.84,7,8.21,4.84,7,8.21,29,29,1217.07,336.93,56.19,3.17,1.57,0.84,2.84,5.21,6.56,2.84,5.21,6.56,22,22,923.95,257.26,52.42,3.72,1.75,0.91,
2021/06/03T00:13:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.15,0.02,36568,0,475,5.09,8.41,9.07,5.09,8.41,9.07,35,35,1327.76,361.14,64.57,3.4,0.97,0.36,3.32,6.3,7.66,3.32,6.3,7.66,26,26,958.39,270.05,57.25,5.54,1.64,0.86,
2021/06/03T00:15:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.2,0.02,36568,0,595,5.05,8,8.07,5.05,8,8.07,33,33,1221.16,352.46,61.09,2.91,0,0,3.41,5.76,6.9,3.41,5.76,6.9,24,24,958.29,270.26,47.83,4.66,1.48,0.55,
2021/06/03T00:17:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.2,0.02,36568,0,715,5.24,7.64,7.78,5.24,7.64,7.78,32,32,1282.15,346.65,56.85,2.36,0.31,0.07,3.57,7.31,8.36,3.57,7.31,8.36,30,30,984.52,276.38,59.26,9.84,1.38,0.69,
2021/06/03T00:19:05z,10:52:1c:4d:af:f9,6.01,2.0+OPENLOG+15485 MB+DS3231+BME280+PMSX003-B+PMSX003-A,72,55,55,998.16,0.02,36568,0,835,4.44,7.14,7.98,4.44,7.14,7.98,30,30,1202.26,323.19,51.93,3.28,1.14,0.7,3.34,6.1,6.71,3.34,6.1,6.71,25,25,931.24,267.1,60.14,4.24,0.83,0.14,
