UTCDateTime,mac_address,firmware_ver,hardware,current_temp_f,current_humidity,current_dewpoint_f,pressure,adc,mem,rssi,uptime,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,pm2.5_aqi_cf_1,pm2.5_aqi_atm,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1_b,pm2_5_cf_1_b,pm10_0_cf_1_b,pm1_0_atm_b,pm2_5_atm_b,pm10_0_atm_b,pm2.5_aqi_cf_1_b,pm2.5_aqi_atm_b,p_0_3_um_b,p_0_5_um_b,p_1_0_um_b,p_2_5_um_b,p_5_0_um_b,p_10_0_um_b,gas
2021/05/27T11:53:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,91,41,64,1005.61,nan,36656,0,115,18.71,27.64,28.81,18.71,27.48,28.81,84,83,3208,1000.33,175.05,6.29,1.43,1.38,21.08,28.42,28.45,20.23,28.42,28.45,85,85,3415.2,1076.68,179.25,2.38,0.1,0.00,
2021/05/27T11:55:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,40,64,1005.59,0.02,36504,0,235,19.59,28.48,28.95,19.27,28.36,28.95,85,85,3236.79,1019.79,169.54,4.07,0.46,0.46,20.93,27.07,27.54,20.05,26.98,27.54,82,82,3383.54,1063.95,152.19,3.54,0.97,0,
2021/05/27T11:57:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,64,1005.58,0.02,36504,0,355,17.9,27.05,28.51,17.9,26.98,28.51,82,82,3136.68,979.02,170.81,5.69,1.76,1.32,21.11,28.62,29.34,20.29,28.48,29.34,86,85,3389.89,1077.71,171.04,3.88,1.09,0.29,
2021/05/27T11:59:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.53,0.02,36504,0,475,19.12,27.18,29.12,19.03,27.18,29.12,83,83,3194.5,990.8,172.53,5.6,1.97,1.57,20.06,28.11,28.5,19.67,28.04,28.5,85,85,3280.61,1037.07,170.85,5.39,0.5,0.35,
2021/05/27T12:01:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.58,0.02,36504,0,595,19.51,27.58,28.35,19.33,27.58,28.35,84,84,3239.05,1007.23,169.75,3.4,1.09,0.81,20.36,27.36,27.88,19.78,27.17,27.88,83,83,3299.07,1041.03,170.47,3.95,0.69,0.52,
2021/05/27T12:03:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.53,0.02,36504,0,715,19.07,26.62,27.75,19.02,26.62,27.75,82,82,3129.11,980.71,152,3.64,1.5,1.25,20.23,27.53,27.91,19.82,27.46,27.91,83,83,3352.79,1047.23,158.91,4.14,0.54,0.09,
2021/05/27T12:05:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.53,0.02,36504,0,835,19.27,26.58,28.35,19.27,26.58,28.35,81,81,3116,976.5,149.17,6.43,2.37,1.87,19.47,25.91,26.71,19.34,25.91,26.71,80,80,3156.36,997.14,148.02,4.98,1.36,0.59,
2021/05/27T12:07:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.54,0.02,36504,0,955,19.31,27.2,29.02,19,27.2,29.02,83,83,3145.22,989.59,160.68,6.14,2.71,1.12,19.95,27.36,28.29,19.43,27.3,28.29,83,83,3250.45,1014.89,170.23,4.7,1.29,0.55,
2021/05/27T12:09:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.47,0.02,36504,0,1075,18.53,27.79,28.55,18.53,27.72,28.55,84,84,3145.66,982.59,168.93,6.52,1.03,0.76,20.33,26.41,27.6,19.84,26.41,27.6,81,81,3252.62,1018.64,158.14,4.16,1.64,1.26,
2021/05/27T12:11:52z,50:2:91:db:e4:21,6.01,2.0+OPENLOG+15582 MB+DS3231+BME280+PMSX003-B+PMSX003-A,92,39,63,1005.52,0.02,36504,0,1195,18.42,26.93,27.04,18.42,26.93,27.04,82,82,3074.95,963.75,168.46,5.58,0,0,20.21,25.62,26.83,19.81,25.62,26.83,79,79,3194.17,1007.78,132.81,4.09,1.95,0.79,
