School ID,samplingday1_date,samplingday2_date
S01,15/06/2021,
S02,03/06/2021,
S03,20/05/2021,21/05/2021
S04,18/05/2021,19/05/2021
S05,18/05/2021,19/05/2021
S06,20/05/2021,21/05/2021
S07,31/05/2021,01/06/2021
S08,04/06/2021,
S09,01/06/2021,02/06/2021
S10,04/06/2021,
S11,13/05/2021,14/05/2021
S12,03/06/2021,
S13,01/06/2021,02/06/2021
S14,15/06/2021,
S15,04/06/2021,
S16,03/06/2021,
S17,13/05/2021,14/05/2021
S18,15/06/2021,
S19,28/05/2021,
S20,25/05/2021,26/05/2021
S21,16/06/2021,
S22,27/05/2021,
S23,25/05/2021,26/05/2021
S24,25/05/2021,26/05/2021
S25,18/05/2021,19/05/2021
S26,28/05/2021,
S27,28/05/2021,
S28,07/06/2021,08/06/2021
S29,27/05/2021,
S30,27/05/2021,
S31,20/05/2021,21/05/2021
S32,13/05/2021,14/05/2021
S33,08/06/2021,
S34,08/06/2021,
S35,09/06/2021,
S36,09/06/2021,
S37,09/06/2021,
S38,16/06/2021,
S39,16/06/2021,
S40,29/06/2021,30/06/2021
S41,29/06/2021,30/06/2021
S42,29/06/2021,30/06/2021
S43,06/07/2021,07/07/2021
