Variable / Field Name,Form Name,Section Header,Field Type,Field Label,"Choices, Calculations, OR Slider Labels",Field Note,Text Validation Type OR Show Slider Number,Text Validation Min,Text Validation Max,Identifier?,Branching Logic (Show field only if...),Required Field?,Custom Alignment,Question Number (surveys only),Matrix Group Name,Matrix Ranking?,Field Annotation
record_id,form_1,,text,Record ID,,,,,,,,,,,,,
city_t,form_1,,radio,Σε ποια πόλη βρίσκεται το σχολείο στο οποίο διδάσκετε:,"1, Λεμεσός | 2, Λευκωσία | 3, Λάρνακα | 4, Πάφος | 5, Αμμόχωστος",,,,,,,y,LV,,,,
school_lim,form_1,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t]=1,y,LV,,,,
school_nic,form_1,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t]=2,y,LV,,,,
school_lar,form_1,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t]=3,y,LV,,,,
school_paf,form_1,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t]=4,y,LV,,,,
school_fam,form_1,,radio,Επιλέξτε το σχολείο στο οποίο διδάσκετε:,schools,,,,,,[city_t]=5,y,LV,,,,
class_id,form_1,,text,Τάξη-Τμήμα (π.χ. Γ2):,,,,,,,,,LV,,,,
surface,form_1,<center>Xαρακτηριστικά της τάξης,text,Ποια είναι η επιφάνεια της συγκεκριμένης αίθουσας σε τετραγωνικά μέτρα (m²);,,,number,10,70,,,y,LV,,,,
num_child,form_1,,text,Πόσα παιδιά βρίσκονται στην αίθουσα σήμερα; ,,,integer,0,30,,,y,LV,,,,
vent,form_1,,radio,"Με ποιο τρόπο εξαερίζεται η αίθουσα;
","1, Με φυσικό εξαερισμό (π.χ. ανοίγοντας πόρτες και παράθυρα) | 2, Με μηχανικό εξαερισμό (π.χ. αυτόματο σύστημα εξαερισμού) | 3, Και με τους 2 τρόπους",,,,,,,y,LV,,,,
air_condition,form_1,,radio,Ποιο/α από τα πιο κάτω διαθέτει η αίθουσα;,"1, Ανεμιστήρα | 2, Κλιματιστικό | 3, Κανένα από τα πιο πάνω | 4, Και τα δύο",,,,,,,y,LV,,,,
air_condition_on,form_1,,radio,Έχει λειτουργήσει το κλιματιστικό σήμερα;,"1, Ναι | 2, Όχι",,,,,,[air_condition]=2 or [air_condition]=4,y,LV,,,,
time_ac_on,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία το κλιματιστικό</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[air_condition_on]=1,y,LV,,,,
anemistiras_num,form_1,,radio,Πόσους ανεμιστήρες διαθέτει η τάξη;,"1, 1 | 2, 2 | 3, 3",,,,,,[air_condition]=1 or [air_condition]=4,y,LV,,,,
anemistiras_on,form_1,,radio,Έχει λειτουργήσει ο ανεμιστήρας σήμερα;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=1,y,LV,,,,
time_anemistiras_on,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[anemistiras_on]=1,y,LV,,,,
anemistiras_on1,form_1,,radio,Έχει λειτουργήσει ο ανεμιστήρας 1 σήμερα;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=2 OR [anemistiras_num]=3,y,LV,,,,
time_anemistiras_on1,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 1</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[anemistiras_on1]=1,y,LV,,,,
anemistiras_on2,form_1,,radio,Έχει λειτουργήσει ο ανεμιστήρας 2 σήμερα;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=2 OR [anemistiras_num]=3,y,LV,,,,
time_anemistiras_on2,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 2</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[anemistiras_on2]=1,y,LV,,,,
anemistiras_on3,form_1,,radio,Έχει λειτουργήσει ο ανεμιστήρας 3 σήμερα;,"1, Ναι | 2, Όχι",,,,,,[anemistiras_num]=3,y,LV,,,,
time_anemistiras_on3,form_1,,checkbox,"<div class=""rich-text-field-label""><p>Σε ποια/ες χρονική/ες περίοδο/ους <u>βρισκόταν σε λειτουργία ο ανεμιστήρας 3</u>, σήμερα;</p></div>","1, 7:45 - 8:05 | 2, 8:06 - 8:25 | 3, 8:26 - 8:45 | 4, 8:46 - 9:05 | 5, 9:06 - 9:25 (1o Διάλειμμα) | 6, 9:26 - 9:45 | 7, 9:46 - 10:05 | 8, 10:06 - 10:25 | 9, 10:26 - 10:45 | 10, 10:46 - 10:55 (2ο Διάλειμμα) | 11, 10:56 - 11:15 | 12, 11:16 - 11:35 | 13, 11:36 - 11:55 | 14, 11:56 - 12:15 | 15, 12:16 - 12:25 (3ο Διάλειμμα) | 16, 12:26 - 12:45 | 17, 12:46 - 13:05 | 18, Όλη μέρα (και τα διαλείμματα) | 19, Όλη μέρα εκτός από τα διαλείμματα",,,,,,[anemistiras_on3]=1,y,LV,,,,
num_wind,form_1,<center>Φυσικός αερισμός τάξης,dropdown,"<div class=""rich-text-field-label""><p>Πόσα παράθυρα διαθέτει η αίθουσα; <br /><em>Σημείωση: Να υπολογίζονται όλα τα παράθυρα της αίθουσας ακόμα κι αν δεν ανοίγονται καθόλου.</em></p></div>","1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10 | 11, 11 | 12, 12 | 13, 13 | 14, 14 | 15, 15 | 16, 16",,,,,,,y,LV,,,,
w1,form_1,"Σε ποια/ες χρονική/ες περίοδο/ους ήταν ανοιχτά τα παράθυρα της αίθουσας σήμερα; (Δ=διάλειμμα)
",checkbox,Παράθυρο 1,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 1 OR [num_wind] = 2 OR [num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w2,form_1,,checkbox,Παράθυρο 2,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 2 OR [num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w3,form_1,,checkbox,Παράθυρο 3,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 3 OR [num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w4,form_1,,checkbox,Παράθυρο 4,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 4 OR [num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w5,form_1,,checkbox,Παράθυρο 5,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 5 OR [num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
w6,form_1,,checkbox,Παράθυρο 6,"1, 7:45-8:25 | 2, 8:25-9:05 | 3, 9:05-9:25 (Δ) | 4, 9:25-10:05 | 5, 10:05-10:45 | 6, 10:45-10:55 (Δ) | 7, 10:55-11:35 | 8, 11:35-12:15 | 9, 12:15-12:25  (Δ) | 10, 12:25-13:00 | 11, Καθόλου ανοιχτό",,,,,,[num_wind] = 6 OR [num_wind] = 7 OR [num_wind] = 8 OR [num_wind] = 9 OR [num_wind] = 10 OR [num_wind] = 11 OR [num_wind] = 12 OR [num_wind] = 13 OR [num_wind] = 14 OR [num_wind] = 15 OR [num_wind] = 16,,,,windows_time,,
